,,path,slice_file_name,fsID,start,end,salience,fold,classID,class,mfccs,predictedClass,,,,,
0,8670,..\.data\UrbanSound8K\audio\fold9\79089-0-0-4.wav,79089-0-0-4.wav,79089,11.664375,15.664375,2,9,0,air_conditioner,"[-1.33630091e+02  1.24111456e+02 -8.75370815e+00  8.61233014e+00
 -7.21747667e+00  4.98260139e+00 -1.34475220e+01 -1.15174465e+00
  1.81565651e+00  7.32035726e+00 -7.53479596e+00  4.33235225e+00
 -5.48882780e+00  6.52384608e+00 -4.04994978e+00  7.51258146e+00
 -2.27486221e+00  5.00881021e+00  1.74673341e+00  5.87830975e+00
  1.63558705e+00  2.79017229e+00  1.92560419e+00  5.88912089e+00
  2.26029132e+00  6.49226720e+00  1.32498997e+00  6.00074620e+00
 -1.73943379e+00  7.07855501e-01 -4.46499650e+00  2.53743525e+00
 -2.99312559e-01  3.62872068e+00 -1.05435329e-01  3.82614569e+00
  1.30039899e+00  3.59029382e+00  4.93631435e-01  2.63159686e+00]",0,TRUE,808,,80.80%,correctly classified
0,3870,..\.data\UrbanSound8K\audio\fold4\166942-0-0-11.wav,166942-0-0-11.wav,166942,5.5,9.5,1,4,0,air_conditioner,"[-85.69658643  29.02218517  -2.36184117  39.63969508   9.21802431
  10.5274244   15.34389755   6.19359025  -0.29048839  13.91891157
  -8.38423432   2.72705798   0.81067241   7.97221696  -6.23717832
   7.95492898  -7.62394925  -6.30838051  -1.70815378   0.97081981
  -5.44862268   0.21468767  -4.02131559  -3.60472867  -5.67975591
  -1.44321837  -6.83287539  -1.95643636  -3.78366903  -2.02637338
  -5.03000072  -0.38891844  -4.25817113  -0.13287763  -1.10352185
   3.30876784   0.23854755   1.91605424  -1.63458451  -0.6053829 ]",0,TRUE,192,,19.20%,incorrectly classified
0,2781,..\.data\UrbanSound8K\audio\fold3\146714-0-0-58.wav,146714-0-0-58.wav,146714,29,33,2,3,0,air_conditioner,"[-3.09865123e+02  4.70509107e+01  4.62478564e+01  1.74625603e+01
  1.39865033e+01  5.45797872e+00  6.72123528e+00  2.20945344e+01
  8.93392041e+00  6.11972194e+00  8.84453304e+00  1.58499189e+01
  5.52774375e+00  1.53097106e+01  5.90291921e+00  5.84250743e+00
  2.88156546e+00  9.14045156e+00 -9.89047539e-01  4.00651647e+00
 -3.01242246e+00  3.61390003e+00  3.72626058e-02  6.50270007e+00
 -4.29440803e-01  6.09892622e+00 -3.06198776e+00  6.21285908e+00
 -3.30026241e+00  2.29431454e+00 -1.68483505e-01  2.42444590e+00
 -1.45943615e+00  1.58981340e+00 -4.11674934e+00  1.27579131e-01
 -2.54789559e+00  4.04590070e-01 -1.32986754e+00  1.34520784e+00]",0,TRUE,,,,
0,6666,..\.data\UrbanSound8K\audio\fold7\177729-0-0-50.wav,177729-0-0-50.wav,177729,25,29,2,7,0,air_conditioner,"[-291.86887077   80.40260784    9.22285382   17.11124539   -9.20244205
   38.89207829   -7.22846902   15.11680326    3.81543182    1.33676863
   14.3209036     6.28816191   -1.8800644     7.31610557   -2.99523804
    3.15056053   -4.697757     -1.15191076    0.29207397    6.57695836
   -8.28253796    8.28686905   -4.2851108     2.85033606   -1.93788824
   -1.82676089    1.57761946   -0.63630446   -2.62978406    2.323056
   -5.57991744    2.01729084   -6.63400367    2.75963986   -1.77658519
   -0.58745802   -2.17553952    0.74469936   -2.3615773     1.34442657]",0,TRUE,,,,
0,436,..\.data\UrbanSound8K\audio\fold1\177621-0-0-127.wav,177621-0-0-127.wav,177621,63.5,67.5,2,1,0,air_conditioner,"[-242.2980906   120.35364379   23.41417367    2.45017436   15.10190166
    7.91775862    9.93071455    1.77899475   11.27039566   -9.31337261
   11.88087277   -8.80414549    1.6109626     1.86320026   -7.11187045
    8.99264116   -6.52384656   -3.6472005     0.59901569   -0.79928767
   -6.24022722    4.4842533    -5.89243712    9.13891354  -10.19055676
   10.112622     -8.23228354    2.16582044   -5.40036779    2.51440805
   -4.14107933    2.23521441   -5.09427663    4.98620716   -6.40805109
    1.9103324    -4.96082819    2.77893686   -4.54752078    3.49727218]",0,TRUE,,,,
0,1853,..\.data\UrbanSound8K\audio\fold2\146690-0-0-137.wav,146690-0-0-137.wav,146690,68.5,72.5,1,2,0,air_conditioner,"[-1.90890421e+02  9.36278842e+01  4.15098707e+01  2.39891039e+01
  1.57368807e+01  2.87457293e+01  3.90443074e-01  2.82881480e+01
 -3.58607792e+00  2.47293763e+01 -4.67596260e+00  1.69709297e+01
  1.35678721e+00  1.04807352e+01  4.13925009e+00  1.06554814e+01
 -1.51052086e+00  3.51452414e+00  3.08899226e+00  6.97045177e+00
  2.09243722e-01 -1.07902069e+00  1.00665688e+00  6.07775635e+00
  2.20138210e+00  3.22071238e+00 -1.86855978e+00  7.85616542e+00
 -1.54966570e+00  4.55612047e+00 -6.63499775e+00  2.51989943e+00
  2.45179984e+00 -4.54748538e-01 -2.84402325e+00 -1.44119580e+00
  1.38750442e-02  1.35983030e+00 -1.94735803e+00 -1.04580994e+00]",0,TRUE,,,,
0,164,..\.data\UrbanSound8K\audio\fold1\134717-0-0-9.wav,134717-0-0-9.wav,134717,4.5,8.5,1,1,0,air_conditioner,"[-191.5688559   180.28623417    1.92999207    6.07644248   -2.86409399
   -4.28739549  -12.93656881    8.33711901  -15.65947517    0.58933443
  -10.37248273   -5.16191171  -20.41308787  -15.64219593  -16.56939028
   -5.41181404  -15.63109382   -2.72894657   -2.03644245    1.40504645
   -9.54950628   -5.02767126  -11.71689497   -2.39911314  -12.40125422
  -13.55439818   -7.90758108    1.07774504   -6.65770015   -3.63096897
   -1.67410789    3.56808121   -2.47113183   -3.01729019   -2.52561687
   -3.05245917   -3.57099971    1.20215217   -2.40935784   -1.88260043]",0,TRUE,,,,
0,4969,..\.data\UrbanSound8K\audio\fold5\178686-0-0-34.wav,178686-0-0-34.wav,178686,17,21,2,5,0,air_conditioner,"[-3.97997946e+02  1.74642676e+02 -2.04759962e+01  2.30487828e+01
  6.56819603e+00  5.40005828e+00  4.64202102e+00  6.58030619e+00
 -6.54819857e-01  7.58898216e+00 -2.35665644e+00  5.03072930e+00
  2.40576115e+00  6.95227906e+00  4.79904985e+00  6.16238718e+00
  2.58835724e+00  6.76435551e+00 -6.58697288e-01  4.05881249e+00
 -2.65232665e+00  4.94846685e+00 -8.01394950e-01  2.58521772e+00
 -2.55156859e-02  2.78791540e+00 -3.04009101e+00  1.32804989e+00
 -3.18564301e+00  1.81657728e+00 -1.05182925e+00  1.96736034e+00
 -2.19428615e+00  2.40130982e+00 -1.61749955e+00  2.05676696e+00
 -1.71914457e+00  1.91410045e+00 -4.87515454e-01  1.67226011e+00]",0,TRUE,,,,
0,8410,..\.data\UrbanSound8K\audio\fold9\189988-0-0-4.wav,189988-0-0-4.wav,189988,2,6,1,9,0,air_conditioner,"[-142.23477813  125.69242128   -9.91932033   26.87166011    1.08441989
   18.43489909   -6.33542568   20.36978981   -5.60774494   11.80529537
   -4.14905207    5.29531805   -3.7659028     4.15133807   -4.79172327
    1.74870879    1.44897819    7.95221596    0.80959831    6.05760449
   -2.21064482    2.54207948   -0.71239735    2.42096501    1.70214661
    5.16035605   -2.79418003    3.52354394   -2.74498426    3.35661904
    0.46603754    3.64986622   -0.34132274    1.72999023   -3.89049101
    1.74361548   -1.64386791    2.14849426   -2.29484661    2.45641658]",0,TRUE,,,,
0,4976,..\.data\UrbanSound8K\audio\fold5\178686-0-0-46.wav,178686-0-0-46.wav,178686,23,27,2,5,0,air_conditioner,"[-4.43999435e+02  1.86411025e+02  1.34495506e+00  8.99669394e+00
  1.38844490e+01  1.13641462e+01  9.62367969e+00  8.70291642e+00
  1.79042668e+00  7.20952011e+00 -3.11230939e+00  4.61634966e+00
  2.38149557e+00  5.32631475e+00  3.27493943e+00  6.62625577e+00
  2.25761509e+00  6.89840090e+00  1.36822608e+00  5.46358142e+00
  4.69383894e-01  4.10143145e+00 -5.00934354e-01  2.87005265e+00
 -7.31726938e-01  2.19079490e+00 -1.52016293e+00  1.78472685e+00
 -2.16408233e+00  1.19972552e+00 -1.62583942e+00  1.82050767e+00
 -1.15263765e+00  2.56112986e+00 -1.75417173e-01  3.23527112e+00
  1.40383498e-01  2.11389471e+00  3.04766164e-01  3.00805126e+00]",0,TRUE,,,,
