path,slice_file_name,fsID,start,end,salience,fold,classID,class,mfccs
data\UrbanSound8K\audio\fold2\147926-0-0-7.wav,147926-0-0-7.wav,147926,3.5,7.5,1,2,0,air_conditioner,"[-3.49382927e+02  1.54085368e+02  1.58253645e+01  1.82002375e+01
  9.29540627e+00  2.35848939e+01 -1.09786259e-01  1.63219103e+01
  2.90290272e+00  1.86705302e+01  2.59708048e-01  1.51143883e+01
 -9.86855693e-01  5.28174520e+00  2.20768276e+00  2.57008673e-02
  4.04969569e+00  5.22671272e+00  1.09731963e+00  7.66555153e-01
  5.28702805e+00 -5.98128799e+00  5.22151356e+00  4.91397439e-01
 -4.89639019e-01  5.03123666e+00 -1.79701228e+00  7.25142981e+00
  1.88614196e+00  5.83009872e+00  2.97957064e+00  5.68364158e+00
  1.57010484e+00  2.82024433e+00  4.25853805e+00  2.09278102e+00
  6.52934002e+00 -3.93669705e-02  3.53040202e+00  2.81995051e-01]"
data\UrbanSound8K\audio\fold8\177726-0-0-9.wav,177726-0-0-9.wav,177726,4.5,8.5,2,8,0,air_conditioner,"[-4.72011917e+02  1.39537140e+02  3.02502523e+01  2.32631074e+01
  2.19705199e+01  1.39617578e+01  9.99127806e+00  8.70543902e+00
  6.87818268e+00  7.99129253e+00  1.47450216e+00  5.04836454e+00
  3.93766844e+00  5.40685037e+00  5.05320187e+00  6.11921809e+00
  5.64800043e+00  6.01605059e+00  4.20834861e+00  4.54967829e+00
  1.27148811e+00  2.31782182e+00  1.08432427e+00  3.15530120e+00
  2.82709279e+00  3.55095727e+00  4.34311571e+00  4.64775286e+00
  3.52544457e+00  4.80252258e+00  3.89068740e+00  5.72010560e+00
  3.30337399e+00  2.16296526e+00  1.10611321e+00  6.81434946e-01
  6.10480752e-01  1.67395158e-01  1.78023879e-01  1.20239277e+00]"
data\UrbanSound8K\audio\fold3\146714-0-0-12.wav,146714-0-0-12.wav,146714,6.0,10.0,2,3,0,air_conditioner,"[-3.05242957e+02  3.86876744e+01  6.32902347e+01  1.63110279e+01
  2.13790332e+00  1.30966800e+01 -3.05122495e+00  1.20972312e+01
  8.57596884e+00  1.07325191e+01  7.24247812e-01  8.07712549e+00
  5.70318738e+00  1.43654479e+01  7.86574716e+00  1.20635795e+01
  8.57639129e+00  6.65194583e+00  4.77046262e+00  6.54907899e+00
  3.15824572e+00  3.13399614e+00  1.73445324e+00 -1.22207898e+00
 -2.26021956e-01  1.71011941e+00  1.78275587e+00  6.06335882e+00
  3.71116567e+00  3.08902308e+00  1.21358723e+00  1.55976077e+00
  7.86162205e-02  9.67422750e-01 -4.12516871e-01  1.60757900e+00
 -7.66968042e-01  3.32572749e-02 -1.74078588e+00 -4.48091584e-01]"
data\UrbanSound8K\audio\fold10\83502-0-0-10.wav,83502-0-0-10.wav,83502,5.0,9.0,2,10,0,air_conditioner,"[-2.94659321e+02  1.19941708e+02 -4.14948431e+01  6.66470503e+01
 -1.71597539e+01  4.06042541e+01 -4.56587031e+00  7.54733275e+00
  1.25277682e+01  7.52411222e+00  3.45025320e+00  1.09224472e+01
 -7.96043741e+00  9.98585697e+00 -5.71031832e-01  6.13302887e+00
  1.24905117e+00  1.00184532e+00  2.59809779e+00  4.46017549e-01
  1.16909253e+00 -1.59190722e+00 -3.86593261e-01 -3.11228053e-01
 -3.03759857e+00  6.68097565e+00 -5.88368423e+00  3.80928708e+00
 -1.25854308e+00 -1.66640247e+00  3.58761108e+00 -2.45017743e+00
  4.61548656e-01 -6.68744990e-02 -2.90855417e+00  5.02827917e+00
 -3.30467596e+00  8.83739855e-01  4.82202528e-02 -1.74169484e+00]"
data\UrbanSound8K\audio\fold1\57320-0-0-11.wav,57320-0-0-11.wav,57320,5.5,9.5,2,1,0,air_conditioner,"[-2.71363027e+02  1.07933644e+02 -1.26505678e+01  5.15655660e+01
  3.23148137e+01  3.21170237e+01  2.36603380e+00  1.44606931e+01
 -5.29057951e+00  1.49975725e+01 -7.46028262e+00  1.41045987e+01
  5.13299120e+00 -4.54394155e-01 -4.36511297e+00  1.90183551e+01
 -3.56531456e+00  4.50889596e+00  3.83155855e+00  3.65309811e+00
  1.73205956e+00  1.03864223e+01 -3.91070987e+00  5.93274451e+00
  1.14941856e+01  1.05315314e+00  1.11949144e+00  7.82268187e+00
  1.92224032e+00  2.00287499e+00  4.98062508e+00 -1.72831592e+00
  8.98364874e-01  7.97671757e-01 -2.20088031e+00 -3.17053271e+00
 -5.43592499e-02 -4.69396173e+00 -9.78970201e-01 -4.27381605e+00]"
data\UrbanSound8K\audio\fold7\189987-0-0-3.wav,189987-0-0-3.wav,189987,1.5,5.5,1,7,0,air_conditioner,"[-1.66016357e+02  1.56608135e+02 -1.84292810e+01  2.29687196e+01
 -1.89246190e+00  2.08579197e+01  2.59847421e+00  3.66413297e+00
 -2.37635488e-01  1.92036645e+01 -4.14806783e+00  7.77042735e+00
 -1.02896736e+01 -2.70770017e+00 -4.97345554e+00 -2.48997340e-01
 -2.76540985e+00 -7.85226918e-02 -5.20065719e+00  7.29047561e+00
  8.26184760e+00  7.35477406e+00  4.29333959e+00  4.05438313e+00
 -1.74439976e+00 -2.32516194e+00  5.10835236e+00  1.58400083e+00
  1.47493595e+00  4.10902711e+00  3.79019360e+00  4.16261183e-01
 -1.06402160e+00 -4.17031606e-01 -4.99111209e+00  2.70326897e+00
 -1.79420091e+00  3.69610895e+00 -1.65215736e+00  4.75435899e+00]"
data\UrbanSound8K\audio\fold4\166942-0-0-12.wav,166942-0-0-12.wav,166942,6.0,10.0,1,4,0,air_conditioner,"[-136.96398759   87.22396903  -47.24823459   53.411437     -0.64390338
   31.27722879   -9.34724229   22.27185187    7.95047468   -0.85649616
    6.03070239    8.57233418   -2.2034176    -3.50984013    0.23345259
    7.18963967    2.19085121    2.02400561    0.78843329    7.13091995
   -8.39026909   -5.59341868    2.26198481   -1.65351151    0.52948925
   -3.29691643   -0.25325534   -0.72431879   -4.32669342   -2.14521491
   -5.10874716   -0.23979057   -5.76402698   -0.1982667    -3.14856356
   -0.56304675   -3.79992821   -1.69194374   -1.32559105   -2.31454179]"
data\UrbanSound8K\audio\fold9\75743-0-0-13.wav,75743-0-0-13.wav,75743,6.5,10.5,2,9,0,air_conditioner,"[-3.36837046e+02  2.00512408e+02 -8.62288980e+01  7.96416291e+01
 -3.09245415e+01  5.84989259e+00 -3.38839950e+00 -2.10957992e+00
 -4.67857881e+00 -1.69171726e+01  1.32497268e+01 -1.56075805e+01
  1.91514620e+00 -8.20456484e+00 -6.75390147e+00  3.85745439e+00
 -3.98683876e+00  7.04170736e+00 -4.48218931e+00  2.24093365e+00
 -8.02107368e+00 -1.07128086e+01 -4.19514653e+00 -8.85089770e+00
  2.24976602e+00 -6.72278576e+00  2.69911952e+00 -1.51642552e+00
 -2.98572128e+00  1.66922996e+00 -7.69223676e+00  7.03196200e-01
 -6.07825874e+00  3.26926483e+00  3.95375115e-01  1.10667940e-01
  7.16438352e-01 -6.85578679e+00  2.22274260e+00 -5.79574349e+00]"
data\UrbanSound8K\audio\fold3\177742-0-0-214.wav,177742-0-0-214.wav,177742,107.0,111.0,2,3,0,air_conditioner,"[-190.14758001  135.44651349  -35.46756551   49.93199174  -21.21650932
   21.0562564     3.59496895   18.38895578   -2.9905843     8.60318127
   -3.5938257     2.14712959   -1.69525602    1.36031932   -2.68251641
   -1.57039344   -2.65185521    0.57298139   -2.75716887   -0.75425852
   -3.91726183   -2.24102704   -2.67847792   -0.20828254   -2.44762996
   -0.46502104   -2.32676828   -1.09655311   -3.8651081    -2.03429658
   -3.11689962   -1.33073743   -4.21580634   -3.90311457   -5.1562756
   -2.38280416   -3.53978908   -2.85255051   -4.7479797    -2.92723125]"
data\UrbanSound8K\audio\fold5\100852-0-0-22.wav,100852-0-0-22.wav,100852,11.0,15.0,1,5,0,air_conditioner,"[-1.24644115e+02  1.54846450e+02 -9.02504914e+01  5.88384846e+01
 -1.48597508e+01  4.11843220e+01 -1.66960978e+01  2.71832394e+01
 -6.66965099e+00  7.32311326e+00 -4.33525972e+00  1.95726434e-01
 -5.12316465e-01 -2.63947397e-01  3.96760381e-01  2.12689355e+00
  6.04026486e+00 -5.66175006e+00  9.94271105e+00 -5.24719633e+00
  6.94918944e+00 -3.51079308e+00  4.17535283e+00  2.61322335e+00
  2.00253243e+00 -2.38628901e+00  1.53222968e+00  1.23213879e+00
 -4.72645058e-02  2.13666732e-01 -2.74101683e+00  5.71987618e-01
 -4.86532432e+00  1.27823289e+00 -5.18682418e+00 -1.93910116e+00
 -6.83177718e+00 -3.35492498e+00 -3.58920341e+00 -1.25273688e+00]"
