,shape,slice_file_name
0,"(40, 173, 2)",70098-3-2-0.wav
1,"(40, 173, 2)",201988-5-0-14.wav
2,"(40, 173, 2)",80589-0-0-2.wav
3,"(40, 173, 2)",102853-8-0-4.wav
4,"(40, 173, 2)",187110-2-0-8.wav
5,"(40, 173, 2)",134717-0-0-21.wav
6,"(40, 173, 2)",99192-4-0-20.wav
7,"(40, 173, 2)",146690-0-0-154.wav
8,"(40, 173, 2)",108357-9-0-44.wav
9,"(40, 173, 2)",101729-0-0-17.wav
10,"(40, 173, 2)",54173-2-0-26.wav
11,"(40, 173, 2)",72259-1-5-0.wav
12,"(40, 173, 2)",31325-3-4-0.wav
13,"(40, 173, 2)",88569-2-0-85.wav
14,"(40, 173, 2)",76086-4-0-29.wav
15,"(40, 173, 2)",167702-4-1-0.wav
16,"(40, 173, 2)",169098-7-0-3.wav
17,"(40, 173, 2)",71080-4-0-0.wav
18,"(40, 173, 2)",57323-8-0-7.wav
19,"(40, 173, 2)",7389-1-2-2.wav
20,"(40, 173, 2)",159708-6-5-0.wav
21,"(40, 173, 2)",180156-1-1-0.wav
22,"(40, 173, 2)",152908-5-0-8.wav
23,"(40, 173, 2)",135527-6-0-0.wav
24,"(40, 173, 2)",203913-8-0-10.wav
25,"(40, 173, 2)",22883-7-17-2.wav
26,"(40, 173, 2)",42117-8-0-0.wav
27,"(40, 173, 2)",162540-1-1-0.wav
28,"(40, 173, 2)",122738-9-0-9.wav
29,"(40, 173, 2)",180128-4-16-1.wav
30,"(40, 173, 2)",189982-0-0-44.wav
31,"(40, 173, 2)",209864-5-0-3.wav
32,"(40, 173, 2)",184805-0-0-49.wav
33,"(40, 173, 2)",197074-3-0-4.wav
34,"(40, 173, 2)",169098-7-4-11.wav
35,"(40, 173, 2)",159752-8-0-10.wav
36,"(40, 173, 2)",30206-7-0-25.wav
37,"(40, 173, 2)",157866-8-0-4.wav
38,"(40, 173, 2)",97606-7-2-0.wav
39,"(40, 173, 2)",46656-6-1-0.wav
40,"(40, 173, 2)",75490-8-1-1.wav
41,"(40, 173, 2)",132016-7-0-8.wav
42,"(40, 173, 2)",180937-7-2-1.wav
43,"(40, 173, 2)",98202-9-1-27.wav
44,"(40, 173, 2)",24347-8-0-26.wav
45,"(40, 173, 2)",157868-8-0-14.wav
46,"(40, 173, 2)",93065-9-0-12.wav
47,"(40, 173, 2)",57323-8-0-1.wav
48,"(40, 173, 2)",113202-5-0-2.wav
49,"(40, 173, 2)",13230-0-0-8.wav
50,"(40, 173, 2)",201652-5-4-3.wav
51,"(40, 173, 2)",203913-8-1-0.wav
52,"(40, 173, 2)",177729-0-0-42.wav
53,"(40, 173, 2)",54067-2-0-70.wav
54,"(40, 173, 2)",189991-0-0-4.wav
55,"(40, 173, 2)",22962-4-0-1.wav
56,"(40, 173, 2)",22601-8-0-6.wav
57,"(40, 173, 2)",89209-3-0-0.wav
58,"(40, 173, 2)",146714-0-0-53.wav
59,"(40, 173, 2)",208030-3-1-0.wav
60,"(40, 173, 2)",42937-4-0-2.wav
61,"(40, 173, 2)",24347-8-0-22.wav
62,"(40, 173, 2)",65381-3-0-3.wav
63,"(40, 173, 2)",177726-0-0-17.wav
64,"(40, 173, 2)",24347-8-0-85.wav
65,"(40, 173, 2)",178260-7-3-10.wav
66,"(40, 173, 2)",94182-9-0-9.wav
67,"(40, 173, 2)",137971-2-0-2.wav
68,"(40, 173, 2)",159708-6-1-0.wav
69,"(40, 173, 2)",184805-0-0-74.wav
70,"(40, 173, 2)",155127-9-1-27.wav
71,"(40, 173, 2)",143115-1-3-0.wav
72,"(40, 173, 2)",159738-8-0-17.wav
73,"(40, 173, 2)",17973-2-0-17.wav
74,"(40, 173, 2)",96921-9-0-9.wav
75,"(40, 173, 2)",135527-6-13-0.wav
76,"(40, 173, 2)",132162-9-1-3.wav
77,"(40, 173, 2)",72259-1-9-9.wav
78,"(40, 173, 2)",34056-2-0-61.wav
79,"(40, 173, 2)",185373-9-1-17.wav
80,"(40, 173, 2)",111671-8-0-1.wav
81,"(40, 173, 2)",22883-7-47-2.wav
82,"(40, 173, 2)",24347-8-0-98.wav
83,"(40, 173, 2)",146709-0-0-44.wav
84,"(40, 173, 2)",50223-3-0-1.wav
85,"(40, 173, 2)",180134-4-2-9.wav
86,"(40, 173, 2)",197320-6-2-0.wav
87,"(40, 173, 2)",95562-4-0-0.wav
88,"(40, 173, 2)",72259-1-9-6.wav
